name;size;price;ingredients
kpellewe1;S;$2.42;Ecolab - Medallion
tdwyre2;L;$2.00;Asparagus - White, Canned
dpinyone3;XL;$1.22;External Supplier
dtyase4;XS;$9.17;Chevril
dbollarde5;L;$4.61;Salami - Genova
tcavile6;M;$4.52;Hummus - Spread
cshakesbye7;XS;$4.82;Potatoes - Mini Red
piliffee8;M;$1.16;Vodka - Hot, Lnferno
squigleye9;XL;$8.09;Sauce - Hoisin
mfenlonea;XS;$7.42;Longos - Grilled Chicken With
pmccombeb;XL;$7.62;Smoked Tongue
eparmiterec;3XL;$2.58;Chinese Foods - Chicken
tvickered;XL;$9.85;Danishes - Mini Raspberry
cvaseyee;L;$2.27;Lobster - Cooked
mtatheref;L;$4.98;Crab Brie In Phyllo
bharveyeg;XS;$0.20;Wine - Rubyport
jfullickeh;XS;$0.27;Beer - Muskoka Cream Ale
msoffeei;3XL;$0.62;Milk - Skim
dvassayej;XL;$2.79;Ranchero - Primerba, Paste
jjonathonek;3XL;$6.84;Juice - Cranberry 284ml
ncowdryel;2XL;$2.32;Pepper - Red Thai
rlemanem;M;$0.20;Bonito Flakes - Toku Katsuo
cfeildenen;S;$9.89;Eggplant - Asian
irodrigeo;M;$7.31;Teriyaki Sauce
tliggensep;3XL;$6.57;Potatoes - Pei 10 Oz
gbaueq;L;$7.01;Soup - Campbellschix Stew
dvanmerweer;L;$0.45;Marjoram - Fresh
jberstones;XL;$3.22;Sherbet - Raspberry
cstockenet;L;$6.00;Chicken - Whole Roasting
wpeileeu;M;$7.28;Ice Cream Bar - Hageen Daz To
rlittleproudev;XL;$1.34;Oil - Cooking Spray
jjonkew;2XL;$8.54;Cookie Chocolate Chip With
lvakhlovex;M;$3.54;Breadfruit
lbreffittey;XS;$2.40;Dish Towel
falbasiniez;2XL;$6.63;Split Peas - Yellow, Dry
jdevillef0;L;$6.69;Lamb - Loin Chops
kacomf1;M;$7.70;Lemon Pepper
ntedstonef2;XL;$0.91;Wasabi Paste
grobelowf3;S;$0.72;Cookies - Englishbay Oatmeal
ocalderonellof4;S;$9.20;Pesto - Primerba, Paste
jlakelandf5;M;$6.48;Cheese - Brie,danish
kwandlessf6;S;$3.59;Cheese - Wine
sevamyf7;XS;$7.92;Cake Circle, Paprus
scherryf8;XL;$7.22;Bay Leaf Fresh
borgillf9;3XL;$8.27;Water - Aquafina Vitamin
cnayerfa;2XL;$9.54;Kellogs All Bran Bars
lcassidyfb;2XL;$7.49;Sardines
cwoolhousefc;M;$4.98;Potato - Sweet
idelmontifd;XL;$4.55;Sauce - White, Mix
gserckfe;XS;$9.37;Mushrooms - Black, Dried
cdowallff;M;$0.39;Oil - Grapeseed Oil
apophamfg;3XL;$2.26;Butter Balls Salted
jsinkinfh;L;$6.67;Wine - Magnotta - Cab Sauv
cduckerfi;2XL;$8.87;Salmon - Atlantic, Fresh, Whole
dpaulinofj;3XL;$2.16;Squash - Acorn
ccowdenfk;2XL;$7.87;Coffee - Beans, Whole
pprefl;2XL;$5.13;Beef - Texas Style Burger
gshanklinfm;L;$1.56;Soup - Campbells
beaglestonefn;XS;$1.64;Trout Rainbow Whole
gspinneyfo;3XL;$4.59;Veal - Slab Bacon
bseymerfp;L;$2.25;Foam Dinner Plate
tbaptistafq;3XL;$2.64;Cheese Cloth No 60
cbloxamfr;S;$4.57;Veal - Heart
lfilippellofs;XL;$3.52;Halibut - Fletches
mtixallft;L;$6.48;Yogurt - Raspberry, 175 Gr
aaultfu;L;$0.50;Honey - Comb
mdallistonfv;XS;$3.12;Cake - Cake Sheet Macaroon
djacobsohnfw;XS;$0.89;Banana
rburdsfx;3XL;$1.30;Oven Mitt - 13 Inch
fstennetfy;L;$8.19;Compound - Strawberry
ageorgelfz;3XL;$8.01;Bag Stand
gmoohang0;3XL;$6.04;Bread - Assorted Rolls
sattreedg1;3XL;$7.83;Appetizer - Veg Assortment
agimblettg2;XS;$6.98;Mix - Cocktail Ice Cream
dplackstoneg3;2XL;$4.97;Pears - Bosc
nploseg4;L;$6.42;Piping - Bags Quizna
ptroyg5;M;$7.94;Ham - Cooked
clagdeg6;2XL;$8.18;Chicken - Livers
bhimpsong7;M;$4.36;Red Pepper Paste
vstainingg8;3XL;$5.46;V8 Pet
obruinemanng9;XS;$0.59;Silicone Paper 16.5x24
jmccleanga;3XL;$9.05;Banana - Green
mnysgb;M;$7.54;Veal - Nuckle
mbumpasgc;XS;$3.77;Asparagus - Green, Fresh
mwellbankgd;2XL;$0.50;Canada Dry
ujakubczykge;XS;$2.30;Plastic Arrow Stir Stick
mdipietrogf;L;$7.56;Leeks - Baby, White
gfoxcroftgg;3XL;$3.37;Ranchero - Primerba, Paste
dtomkissgh;XL;$4.04;Lettuce - Mini Greens, Whole
abrillemangi;S;$1.47;Yeast Dry - Fermipan
nlivingstongj;XS;$8.12;Soup - Knorr, Chicken Gumbo
bclimsongk;M;$5.50;Brownies - Two Bite, Chocolate
tespinosagl;3XL;$7.49;Tendrils - Baby Pea, Organic
lpegdengm;M;$6.58;Pastry - Chocolate Marble Tea
mbellongn;XS;$3.38;Rum - Spiced, Captain Morgan
ahuikerbygo;S;$1.74;Wine - Red, Metus Rose
mdrakegp;L;$8.07;Longan
msmallmangq;XL;$2.35;Vinegar - Red Wine
cbuddleighgr;L;$1.52;Guava
pilyinykhgs;3XL;$5.75;Flower - Daisies
hbezantgt;L;$2.78;Tart Shells - Sweet, 3
mcreamergu;XS;$7.81;Chicken Giblets
nniblogv;3XL;$5.14;Hersey Shakes
mnovillgw;M;$5.33;Wine - Semi Dry Riesling Vineland
lkaysorgx;L;$8.49;Lamb - Shoulder, Boneless
vpeppardgy;XS;$4.45;Onions - White
hogdengz;M;$3.20;Smoked Paprika
egatesh0;L;$9.40;Fondant - Icing
mwaitlandh1;L;$8.81;Soup - Campbells Asian Noodle
tmcgaheyh2;XL;$6.32;Veal - Round, Eye Of
gblitzerh3;3XL;$3.78;Cheese - Swiss
dmatheveth4;M;$2.67;Curry Powder
fsaintepaulh5;L;$2.83;Pasta - Lasagne, Fresh
cpenniellh6;XL;$2.90;Rum - Spiced, Captain Morgan
rridgewayh7;3XL;$1.65;Nut - Hazelnut, Whole
iaykroydh8;XL;$3.40;Glycerine
iyeellh9;S;$4.15;The Pop Shoppe - Lime Rickey
amcpaikeha;XL;$8.40;Crush - Orange, 355ml
cmatthiaehb;3XL;$9.29;Longos - Grilled Chicken With
bderlehc;3XL;$4.95;Pepper - Black, Ground
agloveshd;XS;$8.46;Spice - Chili Powder Mexican
hvedntyevhe;M;$8.81;Sponge Cake Mix - Vanilla
bchazellehf;S;$3.88;Carbonated Water - Blackberry
hnuccitellihg;L;$7.30;Soup - Clam Chowder, Dry Mix
planceterhh;3XL;$9.43;Wine - Penfolds Koonuga Hill
jpumfreyhi;2XL;$2.03;Bread - Pullman, Sliced
gdjurevichj;3XL;$1.64;Bread - French Stick
kpeasnonehk;XS;$2.62;Chick Peas - Dried
fslyfordhl;L;$0.13;Bar Energy Chocchip
hmctavishhm;2XL;$7.14;Lettuce - Spring Mix
acowlardhn;S;$6.04;Tea - Earl Grey
gjeaneauho;XL;$7.79;Clams - Bay
sslimmhp;3XL;$5.30;Ham - Cooked Italian
ofloundershq;L;$0.87;Soup - Chicken And Wild Rice
hstaileyhr;S;$6.55;Green Scrubbie Pad H.duty
smilwardhs;M;$6.26;Lemonade - Natural, 591 Ml
bbuseht;XS;$9.58;Shrimp - Black Tiger 13/15
ggaffneyhu;XS;$8.28;Marzipan 50/50
wcharnockhv;3XL;$4.13;Onions - Vidalia
zdahlerhw;XL;$7.47;Oyster - In Shell
gmccoidhx;L;$3.48;Pop - Club Soda Can
rashbridgehy;L;$0.66;Chicken Thigh - Bone Out
rbabehz;S;$5.02;Tortillas - Flour, 10
agraveneyi0;XL;$1.36;Roe - White Fish
mekinsi1;L;$2.72;Oats Large Flake
jodochertyi2;M;$2.78;Salt - Table
kmccotteri3;M;$7.22;Cognac - Courvaisier
twasei4;3XL;$4.81;Jolt Cola
fdonneelyi5;L;$9.34;Wine - Kwv Chenin Blanc South
lcloonani6;S;$6.30;Bread - Bistro Sour
bslidesi7;M;$6.31;Broom - Corn
ldykei8;L;$2.97;Lid - 16 Oz And 32 Oz
mbritti9;XS;$9.82;Foil - 4oz Custard Cup
naspleia;XL;$7.19;Gatorade - Xfactor Berry
ceyreib;S;$3.59;Cornstarch
njouanetic;S;$5.32;Dried Apple
bzarfatiid;XS;$2.95;Soup V8 Roasted Red Pepper
fovidie;3XL;$4.67;Appetizer - Smoked Salmon / Dill
adubbinif;M;$8.22;Bread - Bistro Sour
csimukovig;XS;$4.04;Stock - Fish
driccardiih;XL;$2.70;Island Oasis - Peach Daiquiri
mzuanelliii;3XL;$5.60;Bread - Rye
uilymanovij;XS;$9.81;Beef - Ground, Extra Lean, Fresh
lmearsik;XL;$7.93;Bar Nature Valley
glosseljongil;XL;$6.00;Turkey - Ground. Lean
cdambrogioim;L;$8.22;Cheese - Valancey
ztallisin;S;$3.88;Beef Tenderloin Aaa
mshervingtonio;2XL;$5.58;Cheese - Brie,danish
cbourneip;M;$7.47;Trout Rainbow Whole
jlosselyongiq;2XL;$6.72;Five Alive Citrus
cseakinir;XS;$4.92;Pork - Bacon, Sliced
rjoriotis;XS;$0.08;Tilapia - Fillets
hvillaltait;L;$2.35;Drambuie
chindesiu;L;$9.63;Puree - Mango
kwagerfieldiv;M;$5.85;Rabbit - Legs
rmacieiczykiw;XS;$9.12;Table Cloth 62x114 Colour
myoungerix;S;$1.71;Coffee - Frthy Coffee Crisp
sjoskowicziy;XS;$4.89;Tomatoes Tear Drop
lloffheadiz;3XL;$7.61;Pepper - Sorrano
arockj0;XS;$1.99;Lamb - Whole Head Off,nz
amoyseyj1;3XL;$3.43;Coffee - Espresso
wsoreauj2;L;$6.38;Wine - Chardonnay South
sledwichj3;3XL;$2.96;Pork - Caul Fat
dwoolastonj4;XL;$7.57;Bread - Triangle White
mblodgettj5;2XL;$3.78;Nut - Almond, Blanched, Ground
mgerreltj6;XL;$7.67;Carbonated Water - Blackberry
pputterillj7;M;$4.36;Beer - Sleemans Cream Ale
bphayrej8;L;$6.37;Onions Granulated
bgutmanj9;M;$0.18;Wine - Red, Pelee Island Merlot
kfawksja;3XL;$6.01;Gin - Gilbeys London, Dry
blaughlinjb;M;$6.73;Bananas
cpeabodyjc;L;$8.23;Pepper - Orange
rgunterjd;XS;$1.32;Beans - Turtle, Black, Dry
amutlowje;L;$5.99;Pepsi, 355 Ml
escobiejf;3XL;$7.21;Ranchero - Primerba, Paste
gbrumwelljg;S;$1.10;Chinese Foods - Pepper Beef
xwalthojh;3XL;$1.54;Cheese Cloth No 60
mdrewittji;2XL;$4.46;Pepper - Black, Crushed
eatchlyjj;M;$3.48;Wine - Vidal Icewine Magnotta
abagshawjk;XS;$5.87;Beef - Tender Tips
bbramalljl;2XL;$4.72;Lemonade - Mandarin, 591 Ml
ftittajm;S;$4.54;Wasabi Paste
ohaldenejn;3XL;$4.33;Pop - Club Soda Can
lcammisjo;3XL;$3.27;Lettuce - Spring Mix
scloyjp;2XL;$9.88;Fennel
gcreanyjq;S;$7.33;Muffin Mix - Blueberry
wblackbroughjr;S;$2.06;Higashimaru Usukuchi Soy
ggiorgionijs;S;$7.21;Soupcontfoam16oz 116con
adykinsjt;M;$5.31;Bread - French Stick
smccallju;M;$7.15;Table Cloth 62x114 Colour
xsimonyjv;L;$0.21;Wine - George Duboeuf Rose
mdumberelljw;XL;$1.89;Ham Black Forest
atowerseyjx;L;$8.70;Pasta - Lasagna, Dry
mspriggingjy;XS;$2.41;Lettuce - Romaine, Heart
rfalcojz;L;$5.04;Buttons
dlarimerk0;XL;$9.87;Bagel - 12 Grain Preslice
sraubenheimerk1;XL;$1.12;Quail - Jumbo
sosoriok2;3XL;$9.35;Soup V8 Roasted Red Pepper
gjumontk3;3XL;$9.69;Roe - Flying Fish
dquestierk4;2XL;$3.65;Beef - Eye Of Round
kdancyk5;XS;$0.64;Eggplant Italian
jklimentyevk6;3XL;$7.89;Bread - Pita
hgotthardk7;2XL;$8.10;Coffee Guatemala Dark
emakerk8;L;$3.70;Lamb Shoulder Boneless Nz
chexamk9;3XL;$1.71;Lighter - Bbq
oredparthka;3XL;$6.31;Mikes Hard Lemonade
ggreensetkb;XL;$1.07;Veal - Insides, Grains
smelbertkc;XS;$3.72;Pork - Butt, Boneless
ccarwardinekd;L;$7.07;Dish Towel
rkaruske;3XL;$5.86;Cake - Bande Of Fruit
hnorgankf;M;$6.55;Tarts Assorted
mlalleykg;M;$3.20;Wine La Vielle Ferme Cote Du
mpauluzzikh;XL;$8.88;Soup - Campbells, Lentil
kohernki;S;$8.44;Tarragon - Primerba, Paste
jbruntkj;3XL;$6.76;Juice - Apple 284ml
vrizzellikk;XL;$7.81;Beef - Salted
mvillierskl;XL;$5.72;Water Chestnut - Canned
boxnamkm;XS;$2.82;Turkey - Whole, Fresh
bdedenhamkn;L;$7.50;Meldea Green Tea Liquor
lfrakeko;XS;$7.70;Wine - Rosso Del Veronese Igt
alipsettkp;2XL;$4.47;Kohlrabi
adarkinskq;L;$4.42;Onions - Green
thasseykr;XS;$0.97;Cheese - Colby
fmcilwraithks;S;$4.57;Cheese - St. Andre
npetrosiankt;L;$3.63;Ginger - Fresh
xvarneku;3XL;$8.17;Muffin Chocolate Individual Wrap
sardleykv;XL;$8.33;Juice - Orange 1.89l
bharrissonkw;XL;$3.72;Iced Tea - Lemon, 460 Ml
rmcelhargykx;2XL;$8.33;Brocolinni - Gaylan, Chinese
dwessellky;S;$8.83;Beans - Turtle, Black, Dry
pdunstonekz;L;$3.99;Beer - Labatt Blue
grankcoml0;2XL;$8.19;Lamb - Leg, Boneless
jrapol1;2XL;$3.80;Fish - Artic Char, Cold Smoked
rtupiel2;S;$9.57;Squid U5 - Thailand
mterbeekl3;2XL;$6.40;Carroway Seed
eraywoodl4;S;$2.56;Scrubbie - Scotchbrite Hand Pad
dbecerill5;3XL;$2.58;Pasta - Fettuccine, Dry
lbaxl6;2XL;$8.23;Shrimp - 16/20, Iqf, Shell On
dcornelsl7;XL;$1.46;Sausage - Meat
apettiferl8;XS;$2.39;Tart Shells - Sweet, 4
ibowdidgel9;XS;$6.48;Gatorade - Lemon Lime
mbulgenla;3XL;$5.98;Noodles - Steamed Chow Mein
ccastellettilb;3XL;$8.81;Eggwhite Frozen
ybridgenlc;2XL;$2.12;Mcguinness - Blue Curacao
astiegarld;2XL;$4.42;Pasta - Fettuccine, Dry
khumphrysle;XL;$9.52;Laundry - Bag Cloth
bburneplf;S;$5.36;Cheese - Bakers Cream Cheese
mprentylg;M;$4.43;Cleaner - Pine Sol
scompsonlh;3XL;$1.06;Doilies - 8, Paper
ealpineli;2XL;$7.71;Cleaner - Comet
lmillbanklj;3XL;$2.85;Nectarines
bwristlk;S;$3.88;Roe - Lump Fish, Black
rcamellill;S;$1.51;Pasta - Cheese / Spinach Bauletti
ahulstromlm;S;$9.01;Strawberries
afathersln;XS;$9.39;Wasabi Paste
dcarletonlo;L;$2.51;Sole - Dover, Whole, Fresh
ebellaylp;S;$3.95;Wine - Red, Pelee Island Merlot
bgirodierlq;XS;$9.96;Wine - Cave Springs Dry Riesling
dklimkovlr;2XL;$4.47;Food Colouring - Blue
finglisls;S;$7.40;Mop Head - Cotton, 24 Oz
wbilbylt;3XL;$2.23;Dill - Primerba, Paste
mbradforthlu;3XL;$6.27;Soup - Tomato Mush. Florentine
kgoodliplv;S;$0.00;Shrimp, Dried, Small / Lb
crawcliffelw;XS;$8.51;Soup - Campbells, Cream Of
cbaldacchilx;L;$8.37;Wine - White, Concha Y Toro
iscarlonly;XS;$0.40;Nut - Walnut, Chopped
ndisburylz;L;$2.53;Veal - Osso Bucco
ggeraudelm0;3XL;$3.64;Sugar - White Packet
kladleym1;3XL;$0.63;Longos - Greek Salad
aboswellm2;S;$0.46;Bacardi Raspberry
astubbeleym3;S;$7.10;Lychee - Canned
vsandlem4;2XL;$7.92;Soup - Campbells
slambdonm5;M;$0.75;Rice - Aborio
hmatoshinm6;XS;$0.50;Liners - Banana, Paper
awickm7;XL;$3.74;Seedlings - Mix, Organic
gdibblem8;L;$9.58;Flour - All Purpose
isteljesm9;M;$4.82;Shrimp - Black Tiger 13/15
rgiblingma;2XL;$4.20;Marzipan 50/50
lnoonanmb;L;$2.64;Pail With Metal Handle 16l White
qayllettmc;3XL;$6.75;Apple - Royal Gala
nduhamelmd;XL;$3.76;The Pop Shoppe - Black Cherry
rbulmanme;L;$0.63;Bagel - Whole White Sesame
dmougeotmf;S;$1.63;Fireball Whisky
trydeardmg;XL;$3.27;Bread Country Roll
cdunkerleymh;L;$4.79;Container - Clear 32 Oz
pthoumassonmi;3XL;$2.26;Shortbread - Cookie Crumbs
codonnellymj;M;$6.63;Longos - Penne With Pesto
jpietrowiczmk;XS;$6.15;Browning Caramel Glace
mwebbbowenml;S;$8.19;Ice Cream - Super Sandwich
ckensleymm;XL;$7.22;Bar Nature Valley
cdurymn;3XL;$7.39;Bar - Sweet And Salty Chocolate
ckeileymo;M;$8.33;Sour Puss Sour Apple
calgarmp;XL;$9.37;Wine - Barbera Alba Doc 2001
ostainsonmq;3XL;$7.34;Beer - Tetleys
cdraiseymr;L;$6.51;Juice - Tomato, 48 Oz
mcrankems;XL;$7.57;Cheese - Mozzarella, Shredded
hdevitamt;M;$9.95;Carbonated Water - Peach
skilvingtonmu;2XL;$4.22;Vinegar - Balsamic
uyegorevmv;2XL;$9.21;Vaccum Bag - 14x20
cminchermw;S;$6.58;Bacardi Breezer - Strawberry
fgullickmx;XS;$8.40;Mustard - Individual Pkg
cbaggelleymy;2XL;$8.29;Pepper - Jalapeno
smollattmz;M;$1.77;Puree - Kiwi
mloinsn0;XS;$9.08;Tuna - Fresh
acauliern1;L;$1.19;Capers - Ox Eye Daisy
nsextin2;L;$4.75;Shrimp - 16/20, Peeled Deviened
fodonohuen3;XL;$0.61;Wine - Chablis J Moreau Et Fils
aflooksn4;XL;$0.06;Jam - Apricot
hleddyn5;3XL;$0.50;Cheese - Cheddar With Claret
fcoen6;S;$2.35;Tomato Puree
smccathayn7;2XL;$5.99;Flour - Strong Pizza
abourn8;XS;$4.72;Flower - Commercial Bronze
zebhardtn9;L;$5.97;Vodka - Lemon, Absolut
msummerleyna;M;$1.87;Pork - Backfat
lcheziernb;S;$5.30;Bag - Clear 7 Lb
dweblingnc;M;$6.96;Lentils - Red, Dry
djachimaknd;M;$0.96;V8 - Berry Blend
kemblinne;L;$8.63;Garlic
rsaysenf;XL;$6.60;Pear - Prickly
mcongdonng;XS;$5.74;Island Oasis - Cappucino Mix
pcubuzzinh;S;$1.33;Bag Stand
mgawni;XL;$0.21;Avocado
gbrissenj;S;$6.64;Cinnamon - Stick
nstonhewernk;2XL;$6.47;Sausage - Chorizo
wcouchanl;M;$2.76;Bar Energy Chocchip
dwilkinsonnm;XS;$9.09;Magnotta Bel Paese Red
cwasielewskinn;3XL;$3.67;Rice - Basmati
kgutteridgeno;3XL;$9.81;Sauce - Bernaise, Mix
rmcmychemnp;S;$0.51;Remy Red
dhousonnq;XL;$4.53;Broom Handle
hdepinnanr;XS;$3.12;Waffle Stix
dfraryns;S;$1.19;Ice Cream - Fudge Bars
abengoughnt;L;$1.39;Yeast Dry - Fermipan
lhyndnu;L;$9.80;Ice Cream - Vanilla
akleinberernv;2XL;$9.94;Venison - Ground
hmillomnw;L;$5.30;Coffee - Flavoured
jwhykenx;XL;$8.05;Salmon - Atlantic, No Skin
vkelsonny;S;$2.51;Bandage - Flexible Neon
tgelsthorpenz;S;$8.80;Jolt Cola - Red Eye
mmaccartano0;2XL;$9.06;Lettuce - Green Leaf
obreacheo1;S;$0.41;Nut - Hazelnut, Whole
mgillilando2;XL;$4.56;Rabbit - Legs
rchateo3;2XL;$7.13;Broom - Angled
bfellneeo4;S;$3.15;Wine - Dubouef Macon - Villages
asmallo5;S;$3.46;Easy Off Oven Cleaner
cspracklino6;XL;$1.95;Filter - Coffee
prupricho7;M;$5.52;Rum - Mount Gay Eclipes
gvancasteleo8;S;$2.23;Quinoa
fyekelo9;2XL;$9.43;Sausage - Breakfast
dstockoeoa;3XL;$9.96;Shrimp - 16/20, Iqf, Shell On
amcmahonob;S;$9.06;Pheasants - Whole
ddearesoc;XL;$6.68;Cookie Dough - Double
lscotterod;XL;$5.48;Chicken - Leg, Fresh
elaidleroe;XL;$4.46;Artichokes - Jerusalem
dwhittetof;XS;$5.79;Tea - Green
gbuntonog;3XL;$0.88;Sauce - Ranch Dressing
cvonderemptenoh;L;$4.60;Beef Tenderloin Aaa
cwallsoi;2XL;$1.27;Veal - Osso Bucco
lskeltonoj;L;$8.26;Vinegar - Tarragon
bgodbertok;L;$3.07;Beer - Heinekin
bcreggol;XL;$4.48;Wine - Piper Heidsieck Brut
jguidottiom;3XL;$4.36;Bread - Pita
ekeffordon;M;$1.87;Soup - Campbells Chili Veg
fteesdaleoo;S;$8.11;Eggplant Oriental
hheaterop;XS;$3.17;Shrimp - 150 - 250
kmeelandoq;XL;$7.67;Foil - 4oz Custard Cup
jdringor;2XL;$6.90;Beer - True North Strong Ale
ademkeos;3XL;$3.01;Ginsing - Fresh
nsieghartot;XL;$5.53;Pasta - Lasagna, Dry
lollanderou;S;$2.13;Isomalt
ccokeov;XS;$3.18;Truffle Shells - Semi - Sweet
ysperringow;2XL;$4.76;Bread Fig And Almond
avelezox;XS;$6.38;Ice Cream - Life Savers
mpipworthoy;2XL;$0.54;Strawberries - California
mjoslingoz;L;$2.80;The Pop Shoppe - Root Beer
wlabetp0;XS;$1.68;Radish
jdemaidp1;XL;$9.19;Breakfast Quesadillas
adennittsp2;L;$8.53;Muffin Mix - Blueberry
sfitchenp3;M;$7.70;Bananas
vpoletp4;M;$3.74;Wine - Casillero Del Diablo
aerasmusp5;XS;$3.03;Wine - Rioja Campo Viejo
rgullamp6;L;$3.23;Smirnoff Green Apple Twist
szellnerp7;S;$9.29;Beer - Mcauslan Apricot
bfroomp8;XS;$7.55;Soy Protein
beakensp9;2XL;$1.56;Pastry - Trippleberry Muffin - Mini
esiwardpa;2XL;$3.17;Pastry - Apple Muffins - Mini
cchancepb;XS;$1.97;Myers Planters Punch
jcicceralepc;L;$4.45;Cakes Assorted
aucchinopd;XL;$3.48;Beef - Tenderloin
dconsadinepe;3XL;$9.98;Cake Circle, Paprus
ndythampf;M;$6.20;Latex Rubber Gloves Size 9
jriegerpg;S;$5.10;Napkin White - Starched
mbrydenph;3XL;$8.68;Beans - Fava, Canned
delbypi;2XL;$9.00;Wine - Red, Mosaic Zweigelt
pdeeginpj;S;$6.13;Hickory Smoke, Liquid
diannipk;2XL;$0.36;Pears - Fiorelle
khuntingdonpl;2XL;$5.07;Sprouts - Baby Pea Tendrils
cpavlovpm;S;$0.25;Cornstarch
mmeneerpn;L;$5.99;Pickles - Gherkins
rvoyseypo;3XL;$7.70;V8 Pet
kfirpopp;3XL;$4.52;Yogurt - Plain
nbraamspq;XS;$8.15;Chocolate Bar - Reese Pieces
aloadmanpr;XL;$1.62;Haggis
rlambardps;S;$0.70;Lemons
hbaulkpt;S;$8.70;Toothpick Frilled
cvilapu;XS;$8.86;True - Vue Containers
acanterapv;S;$6.38;Appetizer - Chicken Satay
gwebermannpw;XL;$8.21;Bread - French Stick
kgatehousepx;XS;$0.56;Yogurt - Peach, 175 Gr
emerryweatherpy;M;$2.75;Wine - Casillero Deldiablo
bspurlingpz;M;$1.27;Lemonade - Mandarin, 591 Ml
aalyutinq0;M;$0.85;Beef - Rouladin, Sliced
bheadingq1;XL;$7.83;Basil - Pesto Sauce
zrohlfsq2;XS;$8.73;Container - Clear 32 Oz
kblemingsq3;2XL;$5.17;Juice - Ocean Spray Kiwi
edrainq4;S;$2.18;Cheese - Colby
rbilovskyq5;M;$3.23;Pineapple - Regular
sveschambreq6;XS;$0.34;Dried Cherries
sroswarneq7;3XL;$4.42;Dry Ice
kpaddefieldq8;XL;$6.15;Pasta - Canelloni
jbutteq9;2XL;$8.23;Beets - Golden
gsyphasqa;3XL;$6.01;Ham - Cooked Italian
adiverqb;L;$6.94;Olives - Black, Pitted
tmobleyqc;L;$2.81;Veal - Provimi Inside
rwallingtonqd;XL;$9.14;Crab - Soft Shell
ckellogqe;2XL;$0.09;Cleaner - Bleach
cginoqf;L;$6.48;Bread - Pumpernickle, Rounds
cbirdisqg;L;$0.35;Cheese - Oka
mmasseyqh;2XL;$1.96;Wine - Charddonnay Errazuriz
chardwickeqi;L;$2.90;Lamb - Whole Head Off,nz
vweitzelqj;XS;$8.34;Steel Wool S.o.s
jcicculiniqk;M;$6.41;Champagne - Brights, Dry
marrigoql;XS;$0.87;Arizona - Green Tea
bmatussevichqm;XS;$9.75;Cookies Almond Hazelnut
jchattoeqn;S;$6.44;Sprouts - Alfalfa
joxterbyqo;XL;$8.04;Cake Circle, Foil, Scallop
btisonqp;L;$0.51;Nut - Hazelnut, Ground, Natural
kcryerqq;3XL;$0.20;Grapes - Green
hgosfordqr;XL;$6.69;Flour - Cake
njeandotqs;M;$4.82;Glaze - Clear
cwalkingshawqt;S;$2.90;Port - 74 Brights
emongeotqu;XL;$8.09;Lidsoupcont Rp12dn
cvaiseyqv;L;$7.00;Coffee - Almond Amaretto
jcreechqw;3XL;$4.61;Shrimp - 21/25, Peel And Deviened
wrepperqx;XL;$6.07;Sherbet - Raspberry
sstutteqy;XS;$8.64;Sobe - Liz Blizz
rhenmarshqz;S;$6.59;Wine - Red, Cabernet Merlot
mwillersr0;L;$4.58;Juice - Ocean Spray Cranberry
atutherr1;L;$8.52;Squash - Butternut
ttheyerr2;L;$5.44;Carrots - Jumbo
abodleighr3;3XL;$5.69;Wine - Riesling Dr. Pauly
kcoer4;XL;$8.70;Crab - Claws, 26 - 30
dlaborder5;2XL;$8.73;Truffle Shells - Semi - Sweet
vmctavishr6;2XL;$1.68;Pork - Bacon,back Peameal
zcastagnerir7;3XL;$5.99;Lettuce - Baby Salad Greens
kgellibrandr8;XL;$1.98;Napkin - Dinner, White
fsafellr9;3XL;$7.27;Magnotta - Bel Paese White
sphippra;L;$8.10;Pork Casing
ssweetingrb;M;$1.57;Juice - Clamato, 341 Ml
kmathisonrc;S;$6.15;Foil - Round Foil
lbushrd;3XL;$5.88;Soup - Campbells, Beef Barley
shextre;XL;$0.90;Ecolab - Orange Frc, Cleaner
eobradainrf;XL;$3.44;Jack Daniels
jraesiderg;3XL;$9.89;Tea - Herbal Orange Spice
broyallrh;XL;$9.02;Onions - Cippolini
wrugglesri;XL;$3.31;Venison - Liver
chaffardrj;XS;$6.48;Pepper - Roasted Red
mpettecrewrk;XL;$0.67;Ice Cream - Strawberry
mviciosorl;2XL;$9.02;Sauce - Fish 25 Ozf Bottle
rwasonrm;2XL;$1.64;Chips Potato All Dressed - 43g
cmatyasrn;M;$0.41;Coke - Diet, 355 Ml
rcarlemanro;2XL;$5.76;Wiberg Super Cure
blethebridgerp;L;$1.90;Pastry - Chocolate Chip Muffin
bcausierrq;XS;$4.71;Lumpfish Black
slinceyrr;L;$4.46;Nantucket - Orange Mango Cktl
